N°;Fecha Hora Inicio;Fecha Hora Termino;tfs;Modos de falla;Modos de falla;;;
79;27-06-2023 18:00;27-06-2023 18:15;0:15;  Operaciones;;;;
80;27-06-2023 16:40;27-06-2023 17:40;1:00;  Operaciones;;;;
81;27-06-2023 11:00;27-06-2023 12:00;1:00;    Mecánica;;;;
82;27-06-2023 10:00;27-06-2023 11:00;1:00;  Operaciones;;;;
83;27-06-2023 9:00;27-06-2023 10:00;1:00;  Operaciones;;;;
84;27-06-2023 5:50;27-06-2023 6:10;0:20;  Operaciones;;;;
85;27-06-2023 4:40;27-06-2023 5:35;0:55;  Operaciones;;;;
86;27-06-2023 1:00;27-06-2023 2:00;1:00;  Operaciones;;;;
87;26-06-2023 23:30;26-06-2023 23:59;0:29;  Operaciones;;;;
88;26-06-2023 22:05;26-06-2023 23:05;1:00;  Operaciones;;;;
89;26-06-2023 18:05;26-06-2023 18:20;0:15;  Operaciones;;;;
90;26-06-2023 16:20;26-06-2023 16:50;0:30;  Operaciones;;;;
91;26-06-2023 14:30;26-06-2023 15:30;1:00;  Operaciones;;;;
92;26-06-2023 14:00;26-06-2023 14:15;0:15;  Operaciones;;;;
93;26-06-2023 11:00;26-06-2023 11:30;0:30;  Operaciones;;;;
94;26-06-2023 10:00;26-06-2023 10:20;0:20;  Operaciones;;;;
95;26-06-2023 5:35;26-06-2023 6:00;0:25;  Operaciones;;;;
96;26-06-2023 3:35;26-06-2023 4:35;1:00;  Operaciones;;;;
97;26-06-2023 1:20;26-06-2023 1:35;0:15;  Operaciones;;;;
98;26-06-2023 0:05;26-06-2023 0:20;0:15;  Externa;;;;
99;25-06-2023 23:25;25-06-2023 23:40;0:15;  Operaciones;;;;
100;25-06-2023 21:30;25-06-2023 21:40;0:10;  Operaciones;;;;
101;25-06-2023 20:10;25-06-2023 21:10;1:00;  Operaciones;;;;
102;25-06-2023 18:00;25-06-2023 18:20;0:20;  Operaciones;;;;
103;25-06-2023 12:00;25-06-2023 12:30;0:30;  Operaciones;;;;
104;25-06-2023 12:00;25-06-2023 12:20;0:20;  Operaciones;;;;
105;25-06-2023 10:20;25-06-2023 11:20;1:00;  Operaciones;;;;
106;25-06-2023 9:30;25-06-2023 9:50;0:20;  Operaciones;;;;
107;25-06-2023 9:20;25-06-2023 9:30;0:10;  Operaciones;;;;
108;25-06-2023 8:00;25-06-2023 8:35;0:35;  Operaciones;;;;
109;25-06-2023 6:30;25-06-2023 6:50;0:20;  Operaciones;;;;
110;25-06-2023 6:00;25-06-2023 6:20;0:20;  Operaciones;;;;
111;25-06-2023 4:00;25-06-2023 4:20;0:20;  Operaciones;;;;
112;25-06-2023 0:35;25-06-2023 2:45;2:10;  Operaciones;;;;
113;24-06-2023 20:30;24-06-2023 21:30;1:00;  Operaciones;;;;
114;24-06-2023 18:30;24-06-2023 18:40;0:10;  Operaciones;;;;
115;24-06-2023 18:00;24-06-2023 18:30;0:30;  Operaciones;;;;
116;24-06-2023 17:50;24-06-2023 18:00;0:10;  Operaciones;;;;
117;24-06-2023 17:20;24-06-2023 17:40;0:20;  Operaciones;;;;
118;24-06-2023 15:00;24-06-2023 15:30;0:30;  Operaciones;;;;
119;24-06-2023 14:00;24-06-2023 14:20;0:20;  Operaciones;;;;
120;24-06-2023 10:10;24-06-2023 11:10;1:00;  Operaciones;;;;
121;24-06-2023 8:00;24-06-2023 8:20;0:20;  Operaciones;;;;
122;24-06-2023 6:45;24-06-2023 7:05;0:20;  Operaciones;;;;
123;24-06-2023 5:00;24-06-2023 5:25;0:25;  Operaciones;;;;
124;24-06-2023 4:30;24-06-2023 4:50;0:20;  Operaciones;;;;
125;24-06-2023 2:50;24-06-2023 3:20;0:30;  Operaciones;;;;
126;24-06-2023 0:30;24-06-2023 1:05;0:35;  Operaciones;;;;
127;23-06-2023 22:30;23-06-2023 23:45;1:15;    Mecánica;;;;
128;23-06-2023 21:30;23-06-2023 22:30;1:00;  Operaciones;;;;
129;23-06-2023 18:40;23-06-2023 19:00;0:20;  Operaciones;;;;
130;23-06-2023 18:10;23-06-2023 18:30;0:20;  Operaciones;;;;
131;23-06-2023 13:40;23-06-2023 14:40;1:00;  Operaciones;;;;
132;23-06-2023 13:00;23-06-2023 13:20;0:20;  Operaciones;;;;
133;23-06-2023 12:25;23-06-2023 12:35;0:10;  Operaciones;;;;
134;23-06-2023 11:05;23-06-2023 11:10;0:05;  Operaciones;;;;
135;23-06-2023 9:00;23-06-2023 9:30;0:30;  Operaciones;;;;
136;23-06-2023 8:20;23-06-2023 8:35;0:15;  Operaciones;;;;
137;23-06-2023 5:00;23-06-2023 6:00;1:00;  Operaciones;;;;
138;23-06-2023 4:10;23-06-2023 4:30;0:20;  Operaciones;;;;
139;23-06-2023 1:20;23-06-2023 2:15;0:55;  Operaciones;;;;
140;22-06-2023 21:55;22-06-2023 22:10;0:15;  Operaciones;;;;
141;22-06-2023 20:50;22-06-2023 21:05;0:15;  Operaciones;;;;
142;22-06-2023 20:10;22-06-2023 20:35;0:25;    Mecánica;;;;
143;22-06-2023 19:10;22-06-2023 20:10;1:00;  Operaciones;;;;
144;22-06-2023 18:40;22-06-2023 19:00;0:20;  Operaciones;;;;
145;22-06-2023 17:30;22-06-2023 17:50;0:20;  Operaciones;;;;
146;22-06-2023 8:15;22-06-2023 13:30;5:15;    Mecánica;;;;
147;22-06-2023 6:00;22-06-2023 7:00;1:00;  Operaciones;;;;
